AIM-Spice kernel Version 2022.100  (Built on Aug 12 2022)
Circuit: *include NANDSF.cir
Analysis: Transient Analysis
Started on: ons. nov. 15 15:22:56 2023
Time id(m:nand_2:mn1:1) id(m:nand_3:mn1:1)
5.13554432000000e-07,9.99996642010646e-11,1.40750179204926e-10
5.43554432000000e-07,1.00055042519052e-10,1.40742231551492e-10
5.73554432000000e-07,1.00110421170603e-10,1.40734283866863e-10
6.03554432000000e-07,1.00165800155537e-10,1.40774438591562e-10
6.33554432000000e-07,1.00221179473689e-10,1.40814604018292e-10
6.63554432000000e-07,1.00152054704901e-10,1.40690467437771e-10
6.93554432000000e-07,1.00082926383626e-10,1.40566389174379e-10
7.23554432000000e-07,1.00013794510102e-10,1.40727503699552e-10
7.53554432000000e-07,9.99446590845803e-11,1.40888686765884e-10
7.83554432000001e-07,1.00014505758543e-10,1.40704420814150e-10
8.13554432000001e-07,1.00084338450412e-10,1.40735352463615e-10
8.43554432000001e-07,1.00154157161702e-10,1.40766285052967e-10
8.73554432000001e-07,1.00107447949244e-10,1.40797218582194e-10
9.03554432000001e-07,1.00060730033912e-10,1.40828153051253e-10
9.33554432000001e-07,1.00014003414742e-10,1.40859088460130e-10
9.63554432000001e-07,9.99672680907550e-11,1.40890024808795e-10
9.93554432000001e-07,1.00092855734550e-10,1.40920962097221e-10
1.02355443200000e-06,1.00218417309655e-10,1.40951900325387e-10
1.05355443200000e-06,1.00175052032632e-10,1.40982839493258e-10
1.08355443200000e-06,1.00131683257207e-10,1.41013779600821e-10
1.11355443200000e-06,1.00088310983275e-10,1.41044720648033e-10
1.14355443200000e-06,1.00044935210748e-10,1.41075662634888e-10
1.17355443200000e-06,1.00001555939521e-10,1.40945658685411e-10
1.20355443200000e-06,9.99581731695014e-11,1.40815652346200e-10
1.23355443200000e-06,1.00085455682731e-10,1.40897244300183e-10
1.26355443200000e-06,1.00212704748930e-10,1.40978837801207e-10
1.29355443200000e-06,1.00175478020676e-10,1.40888876520619e-10
1.32355443200000e-06,1.00138247079754e-10,1.40798924731840e-10
1.35355443200000e-06,1.00101011925904e-10,1.40708982435219e-10
1.38355443200000e-06,1.00063772558862e-10,1.40830588340638e-10
1.41355443200000e-06,1.00026528978362e-10,1.40952217015049e-10
1.44355443200000e-06,9.99892811841457e-11,1.40808494434539e-10
1.47355443200000e-06,1.00110509465530e-10,1.40664807689889e-10
1.50355443200000e-06,1.00231698120495e-10,1.40791632436797e-10
1.53355443200000e-06,1.00113987406045e-10,1.40918485377310e-10
1.56355443200000e-06,9.99962805319752e-11,1.40785872203046e-10
1.59355443200000e-06,9.98785774998613e-11,1.40653290631190e-10
1.62355443200000e-06,9.98968192764008e-11,1.40783230030778e-10
1.65355443200000e-06,9.99150617965355e-11,1.40913199955337e-10
1.68355443200000e-06,9.99333050602881e-11,1.40784506033061e-10
1.71355443200000e-06,9.99515490676734e-11,1.40655842126446e-10
1.74355443200000e-06,9.99697938187121e-11,1.40787271276014e-10
1.77355443200000e-06,9.99880393134201e-11,1.40918731913160e-10
1.80355443200000e-06,1.00006285551818e-10,1.40791472907718e-10
1.83355443200000e-06,1.00024532533926e-10,1.40664243302995e-10
1.86355443200000e-06,1.00042780259763e-10,1.40796329470566e-10
1.89355443200000e-06,1.00061028729338e-10,1.40928447515689e-10
1.92355443200000e-06,1.00079277942684e-10,1.40801726706391e-10
1.95355443200000e-06,1.00097527899810e-10,1.40675035056062e-10
1.98355443200000e-06,1.00115778600732e-10,1.40807400535238e-10
2.00000000000000e-06,1.00125783687806e-10,1.40879974978289e-10
