AIM-Spice kernel Version 2022.100  (Built on Aug 12 2022)
Circuit: *include NANDSS.cir
Analysis: Transient Analysis
Started on: ons. nov. 15 15:23:02 2023
Time id(m:nand_2:mn1:1) id(m:nand_3:mn1:1)
5.13554432000000e-07,3.24304465446727e-11,5.25927160762347e-11
5.43554432000000e-07,3.24104375367272e-11,5.25478820934303e-11
5.73554432000000e-07,3.23904284323423e-11,5.25937583314429e-11
6.03554432000000e-07,3.24503970278781e-11,5.26396343924768e-11
6.33554432000000e-07,3.25103641832004e-11,5.26855102764357e-11
6.63554432000000e-07,3.24831601215588e-11,5.26361624382636e-11
6.93554432000000e-07,3.24559559716993e-11,5.25868065938343e-11
7.23554432000000e-07,3.24287517336402e-11,5.26478292915309e-11
7.53554432000000e-07,3.24015474073971e-11,5.27088514465485e-11
7.83554432000001e-07,3.24477786845190e-11,5.27698730586581e-11
8.13554432000001e-07,3.24940093883179e-11,5.28308941276322e-11
8.43554432000001e-07,3.24729110479608e-11,5.27589410907761e-11
8.73554432000001e-07,3.24518126993915e-11,5.26869791847651e-11
9.03554432000001e-07,3.24307143426168e-11,5.27480091126344e-11
9.33554432000001e-07,3.24096159776439e-11,5.28090381129381e-11
9.63554432000001e-07,3.24445144442841e-11,5.27120197197198e-11
9.93554432000001e-07,3.24794126308797e-11,5.26150122538878e-11
1.02355443200000e-06,3.25143105373967e-11,5.25180157154049e-11
1.05355443200000e-06,3.24546874162405e-11,5.25880906259154e-11
1.08355443200000e-06,3.23950686423546e-11,5.25796138689477e-11
1.11355443200000e-06,3.24144156886244e-11,5.25711373307692e-11
1.14355443200000e-06,3.24337629636695e-11,5.25626610113743e-11
1.17355443200000e-06,3.24531104674832e-11,5.25541849107621e-11
1.20355443200000e-06,3.24724582000638e-11,5.25457090289255e-11
1.23355443200000e-06,3.24349543355978e-11,5.25372333658636e-11
1.26355443200000e-06,3.23974513288459e-11,5.25287579215717e-11
1.29355443200000e-06,3.23599491798322e-11,5.25202826960464e-11
1.32355443200000e-06,3.23935024416980e-11,5.25118076892827e-11
1.35355443200000e-06,3.24270584315607e-11,5.25033329012792e-11
1.38355443200000e-06,3.24153103932559e-11,5.24948583320284e-11
1.41355443200000e-06,3.24035625989466e-11,5.24863839815286e-11
1.44355443200000e-06,3.23918150486297e-11,5.24779098497777e-11
1.47355443200000e-06,3.23800677423032e-11,5.24694359367699e-11
1.50355443200000e-06,3.23683206799629e-11,5.24609622425002e-11
1.53355443200000e-06,3.23565738616085e-11,5.24524887669674e-11
1.56355443200000e-06,3.23448272872358e-11,5.24440155101692e-11
1.59355443200000e-06,3.23934167962167e-11,5.24355424720951e-11
1.62355443200000e-06,3.24420057131722e-11,5.24270696527490e-11
1.65355443200000e-06,3.24199563093311e-11,5.24185970521220e-11
1.68355443200000e-06,3.23979068969102e-11,5.24101246702135e-11
1.71355443200000e-06,3.23758574759207e-11,5.24016525070165e-11
1.74355443200000e-06,3.23538080463690e-11,5.23931805625304e-11
1.77355443200000e-06,3.23904324628187e-11,5.23847088367499e-11
1.80355443200000e-06,3.24270565839843e-11,5.23762373296713e-11
1.83355443200000e-06,3.24636804098272e-11,5.23677660412910e-11
1.86355443200000e-06,3.24227870532479e-11,5.23592949716048e-11
1.89355443200000e-06,3.23818904857048e-11,5.23508241206092e-11
1.92355443200000e-06,3.24002360301384e-11,5.23423534883017e-11
1.95355443200000e-06,3.24185811796591e-11,5.23754841499497e-11
1.98355443200000e-06,3.24369259342700e-11,5.24086229738481e-11
2.00000000000000e-06,3.22670816622586e-11,5.24267926641034e-11
