N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,TT,27,4.662038447905013e-09
0.1u,0.1u,0.175u,0.1u,FF,0,5.181437520005219e-09
0.1u,0.1u,0.175u,0.1u,TT,0,1.3616520432936528e-08
0.1u,0.1u,0.175u,0.1u,FF,70,4.0119262490553865e-08
0.1u,0.1u,0.175u,0.1u,FF,27,1.7052687200133828e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.7064313193036642e-08
0.1u,0.1u,0.550u,0.1u,TT,27,9.19999748924093e-09
0.1u,0.1u,0.550u,0.1u,FF,0,2.6490141443406914e-09
0.1u,0.1u,0.550u,0.1u,TT,0,2.678471928928025e-08
0.1u,0.1u,0.550u,0.1u,FF,70,1.4571642450665754e-08
0.1u,0.1u,0.550u,0.1u,FF,27,2.2912252758292407e-08
0.1u,0.1u,0.550u,0.1u,TT,70,2.9756705500479242e-08
0.1u,0.1u,0.275u,0.1u,TT,27,1.2148488422976346e-09
0.1u,0.1u,0.275u,0.1u,FF,0,2.6735266679680376e-08
0.1u,0.1u,0.275u,0.1u,TT,0,3.1082205955867913e-09
0.1u,0.1u,0.275u,0.1u,FF,70,4.3108692253642335e-08
0.1u,0.1u,0.275u,0.1u,FF,27,1.3067599978967722e-08
0.1u,0.1u,0.275u,0.1u,TT,70,1.2692139733440797e-08
0.1u,0.1u,0.100u,0.1u,TT,27,1.33890600324858e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.3684772057995376e-08
0.1u,0.1u,0.100u,0.1u,TT,0,9.991316005277518e-09
0.1u,0.1u,0.100u,0.1u,FF,70,3.4383198089962384e-08
0.1u,0.1u,0.100u,0.1u,FF,27,2.227010931743465e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.2049758390403472e-08
0.1u,0.1u,0.3u,0.1u,TT,27,2.3353203647787e-09
0.1u,0.1u,0.3u,0.1u,FF,0,2.8137832194083355e-08
0.1u,0.1u,0.3u,0.1u,TT,0,4.1382950233250764e-09
0.1u,0.1u,0.3u,0.1u,FF,70,4.4306745200488664e-08
0.1u,0.1u,0.3u,0.1u,FF,27,1.278935212967282e-08
0.1u,0.1u,0.3u,0.1u,TT,70,1.2603429581188113e-08
0.1u,0.1u,0.500u,0.1u,TT,27,9.185552713397186e-09
0.1u,0.1u,0.500u,0.1u,FF,0,4.7573864933988414e-09
0.1u,0.1u,0.500u,0.1u,TT,0,1.429657198878343e-08
0.1u,0.1u,0.500u,0.1u,FF,70,1.624221795112388e-08
0.1u,0.1u,0.500u,0.1u,FF,27,1.9473865843995252e-08
0.1u,0.1u,0.500u,0.1u,TT,70,3.154013050016472e-08
