N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.350u,0.1u,TT,70,2.5464204982836186e-08
0.1u,0.1u,0.350u,0.1u,FF,27,1.7492447289585635e-09
0.1u,0.1u,0.350u,0.1u,FF,70,6.645378583427101e-08
0.1u,0.1u,0.225u,0.1u,TT,0,2.4213425611848556e-09
0.1u,0.1u,0.225u,0.1u,FF,0,3.538640385155546e-09
0.1u,0.1u,0.225u,0.1u,TT,27,1.6062744079397683e-08
0.1u,0.1u,0.225u,0.1u,TT,70,1.8676168501704945e-08
0.1u,0.1u,0.225u,0.1u,FF,27,1.0828279714182367e-09
0.1u,0.1u,0.225u,0.1u,FF,70,2.049211473439717e-08
0.1u,0.1u,0.400u,0.1u,TT,0,1.5545911065754258e-08
0.1u,0.1u,0.400u,0.1u,FF,0,2.026370132520859e-08
0.1u,0.1u,0.400u,0.1u,TT,27,2.7384135269339804e-08
0.1u,0.1u,0.400u,0.1u,TT,70,2.4253027246429348e-08
0.1u,0.1u,0.400u,0.1u,FF,27,7.519056317450521e-10
0.1u,0.1u,0.400u,0.1u,FF,70,6.64561452094494e-08
0.1u,0.1u,0.475u,0.1u,TT,0,1.2808440418794213e-08
0.1u,0.1u,0.475u,0.1u,FF,0,5.047185838011167e-08
0.1u,0.1u,0.475u,0.1u,TT,27,3.0267023742878474e-09
0.1u,0.1u,0.475u,0.1u,TT,70,2.93397662096568e-08
0.1u,0.1u,0.475u,0.1u,FF,27,2.7617921380943976e-10
0.1u,0.1u,0.475u,0.1u,FF,70,6.555051326733552e-08
0.1u,0.1u,0.375u,0.1u,TT,0,1.5328600533012518e-08
0.1u,0.1u,0.375u,0.1u,FF,0,2.0784769510694666e-08
0.1u,0.1u,0.375u,0.1u,TT,27,2.7661589149333184e-08
0.1u,0.1u,0.375u,0.1u,TT,70,2.4492381754935052e-08
0.1u,0.1u,0.375u,0.1u,FF,27,3.760905403245323e-10
0.1u,0.1u,0.375u,0.1u,FF,70,6.648099148297778e-08
0.1u,0.1u,0.575u,0.1u,TT,0,6.953963486351283e-09
0.1u,0.1u,0.575u,0.1u,FF,0,2.3856043156313237e-09
0.1u,0.1u,0.575u,0.1u,TT,27,1.0679598184291572e-08
0.1u,0.1u,0.575u,0.1u,TT,70,3.7265036100493016e-08
0.1u,0.1u,0.575u,0.1u,FF,27,4.8051461210809384e-08
0.1u,0.1u,0.575u,0.1u,FF,70,2.2291379363808505e-08
0.1u,0.1u,0.525u,0.1u,TT,0,9.795800594426761e-09
0.1u,0.1u,0.525u,0.1u,FF,0,1.7195162269093631e-09
0.1u,0.1u,0.525u,0.1u,TT,27,6.934200005961702e-09
0.1u,0.1u,0.525u,0.1u,TT,70,3.343814165694645e-08
0.1u,0.1u,0.525u,0.1u,FF,27,4.5089454302114616e-08
0.1u,0.1u,0.525u,0.1u,FF,70,6.478824206487044e-08
0.1u,0.1u,0.325u,0.1u,TT,0,1.275001859349378e-08
0.1u,0.1u,0.325u,0.1u,FF,0,2.649653431822705e-08
0.1u,0.1u,0.325u,0.1u,TT,27,3.556907893773033e-10
0.1u,0.1u,0.325u,0.1u,TT,70,2.5269273228190614e-08
0.1u,0.1u,0.325u,0.1u,FF,27,1.8365326214331722e-08
0.1u,0.1u,0.325u,0.1u,FF,70,6.573938477906036e-08
0.1u,0.1u,0.150u,0.1u,TT,0,7.685109016614851e-09
0.1u,0.1u,0.150u,0.1u,FF,0,9.035230339929673e-09
0.1u,0.1u,0.150u,0.1u,TT,27,9.701877094104173e-09
0.1u,0.1u,0.150u,0.1u,TT,70,2.967778187390352e-08
0.1u,0.1u,0.150u,0.1u,FF,27,1.4657499209420881e-08
0.1u,0.1u,0.150u,0.1u,FF,70,3.4075381466206264e-08
