N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,FF,0,1.0391666007999914e-08
0.1u,0.1u,0.175u,0.1u,FF,70,3.4947175447778185e-08
0.1u,0.1u,0.175u,0.1u,TT,0,8.826695616195143e-09
0.1u,0.1u,0.175u,0.1u,FF,27,1.84499644898296e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.3075468329538337e-08
0.1u,0.1u,0.175u,0.1u,TT,27,1.3297221996537266e-08
0.1u,0.1u,0.550u,0.1u,FF,0,1.8796504992924066e-08
0.1u,0.1u,0.550u,0.1u,FF,70,4.0813175123794265e-08
0.1u,0.1u,0.550u,0.1u,TT,0,9.065144536316073e-09
0.1u,0.1u,0.550u,0.1u,FF,27,2.548139622287617e-08
0.1u,0.1u,0.550u,0.1u,TT,70,2.3068753701216656e-08
0.1u,0.1u,0.550u,0.1u,TT,27,1.2736833228027177e-08
0.1u,0.1u,0.275u,0.1u,FF,0,8.656960519661946e-09
0.1u,0.1u,0.275u,0.1u,FF,70,3.227490743278512e-08
0.1u,0.1u,0.275u,0.1u,TT,0,4.907589879498056e-09
0.1u,0.1u,0.275u,0.1u,FF,27,1.5788757856363768e-08
0.1u,0.1u,0.275u,0.1u,TT,70,2.1392862013902968e-08
0.1u,0.1u,0.275u,0.1u,TT,27,1.0352002766231218e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.3656203075932212e-08
0.1u,0.1u,0.100u,0.1u,FF,70,3.546012790733138e-08
0.1u,0.1u,0.100u,0.1u,TT,0,7.2013175524767505e-09
0.1u,0.1u,0.100u,0.1u,FF,27,2.043090351705738e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.133019373740326e-08
0.1u,0.1u,0.100u,0.1u,TT,27,1.148894052017293e-08
0.1u,0.1u,0.3u,0.1u,FF,0,9.711357401912025e-09
0.1u,0.1u,0.3u,0.1u,FF,70,3.2461984227641135e-08
0.1u,0.1u,0.3u,0.1u,TT,0,4.270159472333532e-09
0.1u,0.1u,0.3u,0.1u,FF,27,1.6525176075754826e-08
0.1u,0.1u,0.3u,0.1u,TT,70,2.078558242496336e-08
0.1u,0.1u,0.3u,0.1u,TT,27,9.616549491990507e-09
0.1u,0.1u,0.500u,0.1u,FF,0,1.8564217254049943e-08
0.1u,0.1u,0.500u,0.1u,FF,70,3.971911512453204e-08
0.1u,0.1u,0.500u,0.1u,TT,0,7.161384751857706e-09
0.1u,0.1u,0.500u,0.1u,FF,27,2.4873815169699986e-08
0.1u,0.1u,0.500u,0.1u,TT,70,2.1847667861360964e-08
0.1u,0.1u,0.500u,0.1u,TT,27,1.1136529352740513e-08
0.1u,0.1u,0.125u,0.1u,FF,0,1.3541931310204561e-08
0.1u,0.1u,0.125u,0.1u,FF,70,3.6109198318046094e-08
0.1u,0.1u,0.125u,0.1u,TT,0,8.472476524448044e-09
0.1u,0.1u,0.125u,0.1u,FF,27,2.0674351284536853e-08
0.1u,0.1u,0.125u,0.1u,TT,70,2.193772506085325e-08
0.1u,0.1u,0.125u,0.1u,TT,27,1.2555813986711804e-08
0.1u,0.1u,0.450u,0.1u,FF,0,1.7599892843875884e-08
0.1u,0.1u,0.450u,0.1u,FF,70,3.7928031329044434e-08
0.1u,0.1u,0.450u,0.1u,TT,0,5.366598591549131e-09
0.1u,0.1u,0.450u,0.1u,FF,27,2.3533307188551643e-08
0.1u,0.1u,0.450u,0.1u,TT,70,2.0758996686111123e-08
0.1u,0.1u,0.450u,0.1u,TT,27,9.661023926213536e-09
0.1u,0.1u,0.250u,0.1u,FF,0,8.099399999471075e-09
0.1u,0.1u,0.250u,0.1u,FF,70,3.2382873251981365e-08
0.1u,0.1u,0.250u,0.1u,TT,0,5.8846052185007515e-09
0.1u,0.1u,0.250u,0.1u,FF,27,1.5736706238831365e-08
0.1u,0.1u,0.250u,0.1u,TT,70,2.2127754151174863e-08
0.1u,0.1u,0.250u,0.1u,TT,27,1.1289442532030726e-08
0.1u,0.1u,0.300u,0.1u,FF,0,9.711357401912025e-09
0.1u,0.1u,0.300u,0.1u,FF,70,3.2461984227641135e-08
0.1u,0.1u,0.300u,0.1u,TT,0,4.270159472333532e-09
0.1u,0.1u,0.300u,0.1u,FF,27,1.6525176075754826e-08
0.1u,0.1u,0.300u,0.1u,TT,70,2.078558242496336e-08
0.1u,0.1u,0.300u,0.1u,TT,27,9.616549491990507e-09
