N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,TT,27,2.0229322093067013e-08
0.1u,0.1u,0.175u,0.1u,FF,0,1.938885995846528e-08
0.1u,0.1u,0.175u,0.1u,TT,0,1.4514245983481134e-08
0.1u,0.1u,0.175u,0.1u,FF,70,3.992867466758023e-08
0.1u,0.1u,0.175u,0.1u,FF,27,2.1435876870156683e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.7609840167180675e-08
0.1u,0.1u,0.550u,0.1u,TT,27,1.0003009305360225e-08
0.1u,0.1u,0.550u,0.1u,FF,0,2.8650087496072036e-09
0.1u,0.1u,0.550u,0.1u,TT,0,1.7148485216429638e-08
0.1u,0.1u,0.550u,0.1u,FF,70,1.4015074295811406e-08
0.1u,0.1u,0.550u,0.1u,FF,27,1.5943692635683048e-08
0.1u,0.1u,0.550u,0.1u,TT,70,2.9975810147780385e-08
0.1u,0.1u,0.275u,0.1u,TT,27,2.1331677204002232e-09
0.1u,0.1u,0.275u,0.1u,FF,0,3.589510026520594e-09
0.1u,0.1u,0.275u,0.1u,TT,0,1.8836608055934703e-08
0.1u,0.1u,0.275u,0.1u,FF,70,4.374370269079226e-08
0.1u,0.1u,0.275u,0.1u,FF,27,2.569512726280492e-08
0.1u,0.1u,0.275u,0.1u,TT,70,3.29529667776278e-08
0.1u,0.1u,0.100u,0.1u,TT,27,1.3512274421382376e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.03228090321035e-08
0.1u,0.1u,0.100u,0.1u,TT,0,1.0665673659975868e-08
0.1u,0.1u,0.100u,0.1u,FF,70,3.5076368971087554e-08
0.1u,0.1u,0.100u,0.1u,FF,27,1.57044051716225e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.1384945534453307e-08
0.1u,0.1u,0.3u,0.1u,TT,27,3.3138874060703543e-09
0.1u,0.1u,0.3u,0.1u,FF,0,4.928843391218592e-09
0.1u,0.1u,0.3u,0.1u,TT,0,1.9864079378645546e-08
0.1u,0.1u,0.3u,0.1u,FF,70,4.4982220895104776e-08
0.1u,0.1u,0.3u,0.1u,FF,27,2.6000193226974284e-08
0.1u,0.1u,0.3u,0.1u,TT,70,3.3136367194943965e-08
0.1u,0.1u,0.500u,0.1u,TT,27,1.0064504554505252e-08
0.1u,0.1u,0.500u,0.1u,FF,0,5.081050922884361e-09
0.1u,0.1u,0.500u,0.1u,TT,0,1.518997921259573e-08
0.1u,0.1u,0.500u,0.1u,FF,70,5.8009379938863785e-08
0.1u,0.1u,0.500u,0.1u,FF,27,1.937509690373049e-08
0.1u,0.1u,0.500u,0.1u,TT,70,3.1844292982166285e-08
0.1u,0.1u,0.125u,0.1u,TT,27,1.6476102668926884e-08
0.1u,0.1u,0.125u,0.1u,FF,0,1.3514253183570402e-08
0.1u,0.1u,0.125u,0.1u,TT,0,1.234263204041158e-08
0.1u,0.1u,0.125u,0.1u,FF,70,3.9753173057958055e-08
0.1u,0.1u,0.125u,0.1u,FF,27,1.7598824118246075e-08
0.1u,0.1u,0.125u,0.1u,TT,70,1.9645389932054825e-08
0.1u,0.1u,0.450u,0.1u,TT,27,9.223729117029536e-09
0.1u,0.1u,0.450u,0.1u,FF,0,6.625778960334961e-09
0.1u,0.1u,0.450u,0.1u,TT,0,1.2726786714794013e-08
0.1u,0.1u,0.450u,0.1u,FF,70,5.427780574650002e-08
0.1u,0.1u,0.450u,0.1u,FF,27,2.2195375368583378e-08
0.1u,0.1u,0.450u,0.1u,TT,70,3.2904753334758975e-08
0.1u,0.1u,0.250u,0.1u,TT,27,2.5375032788535355e-10
0.1u,0.1u,0.250u,0.1u,FF,0,2.0554717556755404e-09
0.1u,0.1u,0.250u,0.1u,TT,0,1.7574922961967465e-08
0.1u,0.1u,0.250u,0.1u,FF,70,4.278702609920469e-08
0.1u,0.1u,0.250u,0.1u,FF,27,2.5001411736850133e-08
0.1u,0.1u,0.250u,0.1u,TT,70,3.155549298606308e-08
0.1u,0.1u,0.300u,0.1u,TT,27,3.3138874060703543e-09
0.1u,0.1u,0.300u,0.1u,FF,0,4.928843391218592e-09
0.1u,0.1u,0.300u,0.1u,TT,0,1.9864079378645546e-08
0.1u,0.1u,0.300u,0.1u,FF,70,4.4982220895104776e-08
0.1u,0.1u,0.300u,0.1u,FF,27,2.6000193226974284e-08
0.1u,0.1u,0.300u,0.1u,TT,70,3.3136367194943965e-08
0.1u,0.1u,0.200u,0.1u,TT,27,2.179316973303213e-08
0.1u,0.1u,0.200u,0.1u,FF,0,2.138547402289536e-09
0.1u,0.1u,0.200u,0.1u,TT,0,1.538675025482217e-08
0.1u,0.1u,0.200u,0.1u,FF,70,4.068775306605498e-08
0.1u,0.1u,0.200u,0.1u,FF,27,2.290405621867349e-08
0.1u,0.1u,0.200u,0.1u,TT,70,2.9213834904524845e-08
0.1u,0.1u,0.425u,0.1u,TT,27,8.722783758179898e-09
0.1u,0.1u,0.425u,0.1u,FF,0,7.0622655967904574e-09
0.1u,0.1u,0.425u,0.1u,TT,0,1.125244354967236e-08
0.1u,0.1u,0.425u,0.1u,FF,70,5.2754088009538086e-08
0.1u,0.1u,0.425u,0.1u,FF,27,2.334861745115474e-08
0.1u,0.1u,0.425u,0.1u,TT,70,3.366999234679217e-08
0.1u,0.1u,0.350u,0.1u,TT,27,5.830382282246489e-09
0.1u,0.1u,0.350u,0.1u,FF,0,6.566407359818914e-09
0.1u,0.1u,0.350u,0.1u,TT,0,2.255699561433389e-08
0.1u,0.1u,0.350u,0.1u,FF,70,4.809818196061105e-08
0.1u,0.1u,0.350u,0.1u,FF,27,2.5659052071531577e-08
0.1u,0.1u,0.350u,0.1u,TT,70,3.3712204382821547e-08
0.1u,0.1u,0.225u,0.1u,TT,27,2.3371334300258428e-08
0.1u,0.1u,0.225u,0.1u,FF,0,1.347736553513539e-10
0.1u,0.1u,0.225u,0.1u,TT,0,1.636183412238044e-08
0.1u,0.1u,0.225u,0.1u,FF,70,4.194698366329519e-08
0.1u,0.1u,0.225u,0.1u,FF,27,2.4200861096286283e-08
0.1u,0.1u,0.225u,0.1u,TT,70,3.0393015447235746e-08
0.1u,0.1u,0.400u,0.1u,TT,27,7.885660594716807e-09
0.1u,0.1u,0.400u,0.1u,FF,0,7.212240984364726e-09
0.1u,0.1u,0.400u,0.1u,TT,0,2.515358825479176e-08
0.1u,0.1u,0.400u,0.1u,FF,70,5.116583171410097e-08
0.1u,0.1u,0.400u,0.1u,FF,27,2.4371429531117115e-08
0.1u,0.1u,0.400u,0.1u,TT,70,3.4096332986984194e-08
0.1u,0.1u,0.475u,0.1u,TT,27,9.759646095296567e-09
0.1u,0.1u,0.475u,0.1u,FF,0,5.964528171111439e-09
0.1u,0.1u,0.475u,0.1u,TT,0,1.3983528891664352e-08
0.1u,0.1u,0.475u,0.1u,FF,70,5.579888212297255e-08
0.1u,0.1u,0.475u,0.1u,FF,27,2.0949365477902112e-08
0.1u,0.1u,0.475u,0.1u,TT,70,3.24356764277474e-08
0.1u,0.1u,0.375u,0.1u,TT,27,6.889880836457266e-09
0.1u,0.1u,0.375u,0.1u,FF,0,6.997755253678121e-09
0.1u,0.1u,0.375u,0.1u,TT,0,2.3939998401555663e-08
0.1u,0.1u,0.375u,0.1u,FF,70,4.95022118726759e-08
0.1u,0.1u,0.375u,0.1u,FF,27,2.5182576044062732e-08
0.1u,0.1u,0.375u,0.1u,TT,70,3.419064877492716e-08
0.1u,0.1u,0.575u,0.1u,TT,27,9.766852002694021e-09
0.1u,0.1u,0.575u,0.1u,FF,0,1.5413317412719823e-09
0.1u,0.1u,0.575u,0.1u,TT,0,1.801961139562061e-08
0.1u,0.1u,0.575u,0.1u,FF,70,1.2998838035491556e-08
0.1u,0.1u,0.575u,0.1u,FF,27,1.4115346861649944e-08
0.1u,0.1u,0.575u,0.1u,TT,70,2.9556988104153882e-08
0.1u,0.1u,0.525u,0.1u,TT,27,1.0153415055333527e-08
0.1u,0.1u,0.525u,0.1u,FF,0,4.080428959673871e-09
0.1u,0.1u,0.525u,0.1u,TT,0,1.6171477719968234e-08
0.1u,0.1u,0.525u,0.1u,FF,70,5.885971089577871e-08
0.1u,0.1u,0.525u,0.1u,FF,27,1.7727738646700233e-08
0.1u,0.1u,0.525u,0.1u,TT,70,3.0990638759839634e-08
0.1u,0.1u,0.325u,0.1u,TT,27,4.725477745624842e-09
0.1u,0.1u,0.325u,0.1u,FF,0,6.0388313153654245e-09
0.1u,0.1u,0.325u,0.1u,TT,0,2.122431825012725e-08
0.1u,0.1u,0.325u,0.1u,FF,70,4.6332690607795e-08
0.1u,0.1u,0.325u,0.1u,FF,27,2.5974329628007066e-08
0.1u,0.1u,0.325u,0.1u,TT,70,3.3578052989333994e-08
0.1u,0.1u,0.150u,0.1u,TT,27,1.843723659484908e-08
0.1u,0.1u,0.150u,0.1u,FF,0,1.658144654615053e-08
0.1u,0.1u,0.150u,0.1u,TT,0,1.3446657964497636e-08
0.1u,0.1u,0.150u,0.1u,FF,70,4.015103097172019e-08
0.1u,0.1u,0.150u,0.1u,FF,27,1.956608639014624e-08
0.1u,0.1u,0.150u,0.1u,TT,70,1.7935328452245624e-08
