N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,TT,0,4.254824031936927e-09
0.1u,0.1u,0.1u,0.1u,FF,70,4.896335606140481e-09
0.1u,0.1u,0.1u,0.1u,FF,0,1.2989233548395761e-08
0.1u,0.1u,0.1u,0.1u,TT,70,5.817355244158327e-09
0.1u,0.1u,0.1u,0.1u,TT,27,2.2175717059552433e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.2498750943520146e-08
0.1u,0.1u,0.1u,0.1u,TT,0,8.030945474122062e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.6939854884896935e-09
0.1u,0.1u,0.2u,0.1u,FF,0,2.712640272446861e-09
0.1u,0.1u,0.2u,0.1u,TT,70,2.939076117154032e-09
0.1u,0.1u,0.2u,0.1u,TT,27,2.1894785521107856e-09
0.1u,0.1u,0.2u,0.1u,FF,27,1.6378501309052915e-10
0.1u,0.1u,0.2u,0.1u,TT,0,5.389855577924505e-09
0.1u,0.1u,0.3u,0.1u,FF,70,6.990430444468225e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.2227953680357524e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.3413023879022063e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.969040927933897e-09
0.1u,0.1u,0.3u,0.1u,FF,27,4.850037289876034e-09
0.1u,0.1u,0.3u,0.1u,TT,0,4.254824031936927e-09
0.1u,0.1u,0.1u,0.1u,FF,70,4.896335606140481e-09
0.1u,0.1u,0.1u,0.1u,FF,0,1.2989233548395761e-08
0.1u,0.1u,0.1u,0.1u,TT,70,5.817355244158327e-09
0.1u,0.1u,0.1u,0.1u,TT,27,2.2175717059552433e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.2498750943520146e-08
0.1u,0.1u,0.1u,0.1u,TT,0,8.030945474122062e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.6939854884896935e-09
0.1u,0.1u,0.2u,0.1u,FF,0,2.712640272446861e-09
0.1u,0.1u,0.2u,0.1u,TT,70,2.939076117154032e-09
0.1u,0.1u,0.2u,0.1u,TT,27,2.1894785521107856e-09
0.1u,0.1u,0.2u,0.1u,FF,27,1.6378501309052915e-10
0.1u,0.1u,0.2u,0.1u,TT,0,5.389855577924505e-09
0.1u,0.1u,0.3u,0.1u,FF,70,6.990430444468225e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.2227953680357524e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.3413023879022063e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.969040927933897e-09
0.1u,0.1u,0.3u,0.1u,FF,27,4.850037289876034e-09
0.1u,0.1u,0.3u,0.1u,TT,0,4.254824031936927e-09
0.1u,0.1u,0.1u,0.1u,FF,70,4.896335606140481e-09
0.1u,0.1u,0.1u,0.1u,FF,0,1.2989233548395761e-08
0.1u,0.1u,0.1u,0.1u,TT,70,5.817355244158327e-09
0.1u,0.1u,0.1u,0.1u,TT,27,2.2175717059552433e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.2498750943520146e-08
0.1u,0.1u,0.1u,0.1u,TT,0,8.030945474122062e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.6939854884896935e-09
0.1u,0.1u,0.2u,0.1u,FF,0,2.712640272446861e-09
0.1u,0.1u,0.2u,0.1u,TT,70,2.939076117154032e-09
0.1u,0.1u,0.2u,0.1u,TT,27,2.1894785521107856e-09
0.1u,0.1u,0.2u,0.1u,FF,27,1.6378501309052915e-10
0.1u,0.1u,0.2u,0.1u,TT,0,5.389855577924505e-09
0.1u,0.1u,0.3u,0.1u,FF,70,6.990430444468225e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.2227953680357524e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.3413023879022063e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.969040927933897e-09
0.1u,0.1u,0.3u,0.1u,FF,27,4.850037289876034e-09
0.1u,0.1u,0.3u,0.1u,TT,00,4.254824031936927e-09
