N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,FF,70,1.902951381151152e-08
0.1u,0.1u,0.1u,0.1u,FF,27,9.528457017873065e-09
0.1u,0.1u,0.1u,0.1u,FF,0,5.89672635582509e-09
0.1u,0.1u,0.1u,0.1u,TT,27,5.893485642280716e-09
0.1u,0.1u,0.1u,0.1u,TT,0,3.6015913965646877e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.0995663353140246e-08
0.1u,0.1u,0.1u,0.1u,FF,70,1.7898427841957466e-08
0.1u,0.1u,0.2u,0.1u,FF,27,9.61523864196742e-09
0.1u,0.1u,0.2u,0.1u,FF,0,6.065340384471162e-09
0.1u,0.1u,0.2u,0.1u,TT,27,5.906556511417544e-09
0.1u,0.1u,0.2u,0.1u,TT,0,3.532033534794073e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.1578609532161452e-08
0.1u,0.1u,0.2u,0.1u,FF,70,1.8499190980388842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,9.909806166084212e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.108760563195755e-09
0.1u,0.1u,0.3u,0.1u,TT,27,6.209283032788055e-09
0.1u,0.1u,0.3u,0.1u,TT,0,3.5105348489785914e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.1902780347671964e-08
0.1u,0.1u,0.3u,0.1u,FF,70,1.902951381151152e-08
0.1u,0.1u,0.1u,0.1u,FF,27,9.528457017873065e-09
0.1u,0.1u,0.1u,0.1u,FF,0,5.89672635582509e-09
0.1u,0.1u,0.1u,0.1u,TT,27,5.893485642280716e-09
0.1u,0.1u,0.1u,0.1u,TT,0,3.6015913965646877e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.0995663353140246e-08
0.1u,0.1u,0.1u,0.1u,FF,70,1.7898427841957466e-08
0.1u,0.1u,0.2u,0.1u,FF,27,9.61523864196742e-09
0.1u,0.1u,0.2u,0.1u,FF,0,6.065340384471162e-09
0.1u,0.1u,0.2u,0.1u,TT,27,5.906556511417544e-09
0.1u,0.1u,0.2u,0.1u,TT,0,3.532033534794073e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.1578609532161452e-08
0.1u,0.1u,0.2u,0.1u,FF,70,1.8499190980388842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,9.909806166084212e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.108760563195755e-09
0.1u,0.1u,0.3u,0.1u,TT,27,6.209283032788055e-09
0.1u,0.1u,0.3u,0.1u,TT,0,3.5105348489785914e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.1902780347671964e-08
0.1u,0.1u,0.3u,0.1u,FF,70,1.902951381151152e-08
0.1u,0.1u,0.1u,0.1u,FF,27,9.528457017873065e-09
0.1u,0.1u,0.1u,0.1u,FF,0,5.89672635582509e-09
0.1u,0.1u,0.1u,0.1u,TT,27,5.893485642280716e-09
0.1u,0.1u,0.1u,0.1u,TT,0,3.6015913965646877e-09
0.1u,0.1u,0.1u,0.1u,TT,70,1.0995663353140246e-08
0.1u,0.1u,0.1u,0.1u,FF,70,1.7898427841957466e-08
0.1u,0.1u,0.2u,0.1u,FF,27,9.61523864196742e-09
0.1u,0.1u,0.2u,0.1u,FF,0,6.065340384471162e-09
0.1u,0.1u,0.2u,0.1u,TT,27,5.906556511417544e-09
0.1u,0.1u,0.2u,0.1u,TT,0,3.532033534794073e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.1578609532161452e-08
0.1u,0.1u,0.2u,0.1u,FF,70,1.8499190980388842e-08
0.1u,0.1u,0.3u,0.1u,FF,27,9.909806166084212e-09
0.1u,0.1u,0.3u,0.1u,FF,0,6.108760563195755e-09
0.1u,0.1u,0.3u,0.1u,TT,27,6.209283032788055e-09
0.1u,0.1u,0.3u,0.1u,TT,0,3.5105348489785914e-09
0.1u,0.1u,0.3u,0.1u,TT,70,1.1902780347671964e-08
0.1u,0.1u,0.3u,0.1u,FF,70,1.9029513811511518e-08
