N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,TT,0,9.677019875184088e-10
0.1u,0.1u,0.1u,0.1u,FF,0,9.188736893585485e-09
0.1u,0.1u,0.1u,0.1u,FF,70,2.3313789921280863e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.3567296826640613e-08
0.1u,0.1u,0.1u,0.1u,TT,27,6.9780920837081345e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.3358523779351924e-08
0.1u,0.1u,0.1u,0.1u,TT,0,4.305049381601041e-09
0.1u,0.1u,0.2u,0.1u,FF,0,3.591784486688634e-09
0.1u,0.1u,0.2u,0.1u,FF,70,2.1494676973801563e-08
0.1u,0.1u,0.2u,0.1u,TT,70,1.5651622787283914e-08
0.1u,0.1u,0.2u,0.1u,TT,27,8.881681380129298e-09
0.1u,0.1u,0.2u,0.1u,FF,27,9.395999454566622e-09
0.1u,0.1u,0.2u,0.1u,TT,0,5.4690622828965586e-09
0.1u,0.1u,0.3u,0.1u,FF,0,3.915330227217741e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.9625690626966012e-08
0.1u,0.1u,0.3u,0.1u,TT,70,1.3232987206534961e-08
0.1u,0.1u,0.3u,0.1u,TT,27,5.0996844170625346e-09
0.1u,0.1u,0.3u,0.1u,FF,27,8.331879145252225e-09
0.1u,0.1u,0.3u,0.1u,TT,0,9.677019875184088e-10
0.1u,0.1u,0.1u,0.1u,FF,0,9.188736893585485e-09
0.1u,0.1u,0.1u,0.1u,FF,70,2.3313789921280863e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.3567296826640613e-08
0.1u,0.1u,0.1u,0.1u,TT,27,6.9780920837081345e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.3358523779351924e-08
0.1u,0.1u,0.1u,0.1u,TT,0,4.305049381601041e-09
0.1u,0.1u,0.2u,0.1u,FF,0,3.591784486688634e-09
0.1u,0.1u,0.2u,0.1u,FF,70,2.1494676973801563e-08
0.1u,0.1u,0.2u,0.1u,TT,70,1.5651622787283914e-08
0.1u,0.1u,0.2u,0.1u,TT,27,8.881681380129298e-09
0.1u,0.1u,0.2u,0.1u,FF,27,9.395999454566622e-09
0.1u,0.1u,0.2u,0.1u,TT,0,5.4690622828965586e-09
0.1u,0.1u,0.3u,0.1u,FF,0,3.915330227217741e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.9625690626966012e-08
0.1u,0.1u,0.3u,0.1u,TT,70,1.3232987206534961e-08
0.1u,0.1u,0.3u,0.1u,TT,27,5.0996844170625346e-09
0.1u,0.1u,0.3u,0.1u,FF,27,8.331879145252225e-09
0.1u,0.1u,0.3u,0.1u,TT,0,9.677019875184088e-10
0.1u,0.1u,0.1u,0.1u,FF,0,9.188736893585485e-09
0.1u,0.1u,0.1u,0.1u,FF,70,2.3313789921280863e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.3567296826640613e-08
0.1u,0.1u,0.1u,0.1u,TT,27,6.9780920837081345e-09
0.1u,0.1u,0.1u,0.1u,FF,27,1.3358523779351924e-08
0.1u,0.1u,0.1u,0.1u,TT,0,4.305049381601041e-09
0.1u,0.1u,0.2u,0.1u,FF,0,3.591784486688634e-09
0.1u,0.1u,0.2u,0.1u,FF,70,2.1494676973801563e-08
0.1u,0.1u,0.2u,0.1u,TT,70,1.5651622787283914e-08
0.1u,0.1u,0.2u,0.1u,TT,27,8.881681380129298e-09
0.1u,0.1u,0.2u,0.1u,FF,27,9.395999454566622e-09
0.1u,0.1u,0.2u,0.1u,TT,0,5.4690622828965586e-09
0.1u,0.1u,0.3u,0.1u,FF,0,3.915330227217741e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.9625690626966012e-08
0.1u,0.1u,0.3u,0.1u,TT,70,1.3232987206534961e-08
0.1u,0.1u,0.3u,0.1u,TT,27,5.0996844170625346e-09
0.1u,0.1u,0.3u,0.1u,FF,27,8.331879145252225e-09
0.1u,0.1u,0.3u,0.1u,TT,00,9.677019875184088e-10
