N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,TT,70,4.493067679151661e-09
0.1u,0.1u,0.1u,0.1u,FF,70,6.806987446225946e-09
0.1u,0.1u,0.1u,0.1u,TT,27,3.795456898353859e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.094585544091457e-09
0.1u,0.1u,0.1u,0.1u,FF,27,4.94975101296795e-10
0.1u,0.1u,0.1u,0.1u,FF,0,1.571224145891928e-09
0.1u,0.1u,0.1u,0.1u,TT,70,5.623560907239362e-09
0.1u,0.1u,0.2u,0.1u,FF,70,8.383406251814294e-09
0.1u,0.1u,0.2u,0.1u,TT,27,3.694080844183718e-09
0.1u,0.1u,0.2u,0.1u,TT,0,2.7144859279592103e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.2775550978528673e-09
0.1u,0.1u,0.2u,0.1u,FF,0,8.14429502355421e-10
0.1u,0.1u,0.2u,0.1u,TT,70,5.2837039367608646e-09
0.1u,0.1u,0.3u,0.1u,FF,70,9.310558804718843e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.9781184083657957e-09
0.1u,0.1u,0.3u,0.1u,TT,0,2.893476632206488e-09
0.1u,0.1u,0.3u,0.1u,FF,27,3.8441935974598235e-09
0.1u,0.1u,0.3u,0.1u,FF,0,7.55608328432301e-10
0.1u,0.1u,0.3u,0.1u,TT,70,4.493067679151661e-09
0.1u,0.1u,0.1u,0.1u,FF,70,6.806987446225946e-09
0.1u,0.1u,0.1u,0.1u,TT,27,3.795456898353859e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.094585544091457e-09
0.1u,0.1u,0.1u,0.1u,FF,27,4.94975101296795e-10
0.1u,0.1u,0.1u,0.1u,FF,0,1.571224145891928e-09
0.1u,0.1u,0.1u,0.1u,TT,70,5.623560907239362e-09
0.1u,0.1u,0.2u,0.1u,FF,70,8.383406251814294e-09
0.1u,0.1u,0.2u,0.1u,TT,27,3.694080844183718e-09
0.1u,0.1u,0.2u,0.1u,TT,0,2.7144859279592103e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.2775550978528673e-09
0.1u,0.1u,0.2u,0.1u,FF,0,8.14429502355421e-10
0.1u,0.1u,0.2u,0.1u,TT,70,5.2837039367608646e-09
0.1u,0.1u,0.3u,0.1u,FF,70,9.310558804718843e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.9781184083657957e-09
0.1u,0.1u,0.3u,0.1u,TT,0,2.893476632206488e-09
0.1u,0.1u,0.3u,0.1u,FF,27,3.8441935974598235e-09
0.1u,0.1u,0.3u,0.1u,FF,0,7.55608328432301e-10
0.1u,0.1u,0.3u,0.1u,TT,70,4.493067679151661e-09
0.1u,0.1u,0.1u,0.1u,FF,70,6.806987446225946e-09
0.1u,0.1u,0.1u,0.1u,TT,27,3.795456898353859e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.094585544091457e-09
0.1u,0.1u,0.1u,0.1u,FF,27,4.94975101296795e-10
0.1u,0.1u,0.1u,0.1u,FF,0,1.571224145891928e-09
0.1u,0.1u,0.1u,0.1u,TT,70,5.623560907239362e-09
0.1u,0.1u,0.2u,0.1u,FF,70,8.383406251814294e-09
0.1u,0.1u,0.2u,0.1u,TT,27,3.694080844183718e-09
0.1u,0.1u,0.2u,0.1u,TT,0,2.7144859279592103e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.2775550978528673e-09
0.1u,0.1u,0.2u,0.1u,FF,0,8.14429502355421e-10
0.1u,0.1u,0.2u,0.1u,TT,70,5.2837039367608646e-09
0.1u,0.1u,0.3u,0.1u,FF,70,9.310558804718843e-09
0.1u,0.1u,0.3u,0.1u,TT,27,2.9781184083657957e-09
0.1u,0.1u,0.3u,0.1u,TT,0,2.893476632206488e-09
0.1u,0.1u,0.3u,0.1u,FF,27,3.8441935974598235e-09
0.1u,0.1u,0.3u,0.1u,FF,0,7.556083284323016e-10
0.1u,0.1u,0.3u,0.1u,TT,70,4.493067679151661e-09
