N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,TT,0,9.835506044108906e-09
0.1u,0.1u,0.175u,0.1u,FF,0,2.446797801713536e-08
0.1u,0.1u,0.175u,0.1u,TT,27,1.6300455259955387e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.2978161061363653e-08
0.1u,0.1u,0.175u,0.1u,FF,27,8.991734500056141e-09
0.1u,0.1u,0.175u,0.1u,FF,70,3.73201898537605e-08
0.1u,0.1u,0.550u,0.1u,TT,0,2.5447503737239783e-08
0.1u,0.1u,0.550u,0.1u,FF,0,2.7585214902574493e-08
0.1u,0.1u,0.550u,0.1u,TT,27,1.786110010070034e-08
0.1u,0.1u,0.550u,0.1u,TT,70,1.3859600994766157e-08
0.1u,0.1u,0.550u,0.1u,FF,27,3.919200642851274e-09
0.1u,0.1u,0.550u,0.1u,FF,70,1.4634802129591657e-08
0.1u,0.1u,0.275u,0.1u,TT,0,1.0148373126087648e-08
0.1u,0.1u,0.275u,0.1u,FF,0,3.15839174375482e-08
0.1u,0.1u,0.275u,0.1u,TT,27,2.4105607958515683e-08
0.1u,0.1u,0.275u,0.1u,TT,70,2.3048850255435013e-08
0.1u,0.1u,0.275u,0.1u,FF,27,3.934524520090617e-09
0.1u,0.1u,0.275u,0.1u,FF,70,4.0834219182779023e-08
0.1u,0.1u,0.100u,0.1u,TT,0,1.4833067114170093e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.8405319897426e-08
0.1u,0.1u,0.100u,0.1u,TT,27,1.6092474964331686e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.299473613584033e-08
0.1u,0.1u,0.100u,0.1u,FF,27,1.4793223404207205e-08
0.1u,0.1u,0.100u,0.1u,FF,70,3.4336232959391026e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.2581880154446784e-08
0.1u,0.1u,0.3u,0.1u,FF,0,2.981415545169396e-08
0.1u,0.1u,0.3u,0.1u,TT,27,2.6161287100195786e-08
0.1u,0.1u,0.3u,0.1u,TT,70,2.459482184068523e-08
0.1u,0.1u,0.3u,0.1u,FF,27,4.237433412927261e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.1842168165715872e-08
0.1u,0.1u,0.500u,0.1u,TT,0,1.1953906743469194e-08
0.1u,0.1u,0.500u,0.1u,FF,0,2.4035429103120065e-08
0.1u,0.1u,0.500u,0.1u,TT,27,2.1792855934580524e-08
0.1u,0.1u,0.500u,0.1u,TT,70,1.7631319871551593e-08
0.1u,0.1u,0.500u,0.1u,FF,27,1.39200027427625e-09
0.1u,0.1u,0.500u,0.1u,FF,70,1.2958096091295774e-08
0.1u,0.1u,0.125u,0.1u,TT,0,6.701524482081942e-09
0.1u,0.1u,0.125u,0.1u,FF,0,1.102852071245012e-08
0.1u,0.1u,0.125u,0.1u,TT,27,1.1958410412372662e-08
0.1u,0.1u,0.125u,0.1u,TT,70,2.4293996962356944e-08
0.1u,0.1u,0.125u,0.1u,FF,27,2.588943312228448e-08
0.1u,0.1u,0.125u,0.1u,FF,70,3.6276702370758814e-08
0.1u,0.1u,0.450u,0.1u,TT,0,1.5141178143622477e-08
0.1u,0.1u,0.450u,0.1u,FF,0,2.152767370724753e-08
0.1u,0.1u,0.450u,0.1u,TT,27,3.223363094135858e-08
0.1u,0.1u,0.450u,0.1u,TT,70,2.1528070479108763e-08
0.1u,0.1u,0.450u,0.1u,FF,27,3.19298721125746e-10
0.1u,0.1u,0.450u,0.1u,FF,70,1.1886305374987057e-08
0.1u,0.1u,0.250u,0.1u,TT,0,2.3442484280019763e-08
0.1u,0.1u,0.250u,0.1u,FF,0,3.243534616166508e-08
0.1u,0.1u,0.250u,0.1u,TT,27,2.0690282515615265e-08
0.1u,0.1u,0.250u,0.1u,TT,70,2.7815771635353923e-08
0.1u,0.1u,0.250u,0.1u,FF,27,2.6753202471693717e-09
0.1u,0.1u,0.250u,0.1u,FF,70,1.7149667668895282e-08
0.1u,0.1u,0.300u,0.1u,TT,0,1.2581880154446784e-08
0.1u,0.1u,0.300u,0.1u,FF,0,2.981415545169396e-08
0.1u,0.1u,0.300u,0.1u,TT,27,2.6161287100195786e-08
0.1u,0.1u,0.300u,0.1u,TT,70,2.459482184068523e-08
0.1u,0.1u,0.300u,0.1u,FF,27,4.237433412927261e-09
0.1u,0.1u,0.300u,0.1u,FF,70,1.1842168165715872e-08
0.1u,0.1u,0.200u,0.1u,TT,0,1.4523849435742841e-08
0.1u,0.1u,0.200u,0.1u,FF,0,2.9140797889674363e-08
0.1u,0.1u,0.200u,0.1u,TT,27,1.2531361504069776e-08
0.1u,0.1u,0.200u,0.1u,TT,70,2.3591346643747188e-08
0.1u,0.1u,0.200u,0.1u,FF,27,8.823220909936874e-09
0.1u,0.1u,0.200u,0.1u,FF,70,2.3444298277218244e-08
0.1u,0.1u,0.425u,0.1u,TT,0,1.6276529598170147e-08
0.1u,0.1u,0.425u,0.1u,FF,0,2.0803913090338053e-08
0.1u,0.1u,0.425u,0.1u,TT,27,2.7257737736142372e-08
0.1u,0.1u,0.425u,0.1u,TT,70,2.319271918712272e-08
0.1u,0.1u,0.425u,0.1u,FF,27,4.236886075214084e-08
0.1u,0.1u,0.425u,0.1u,FF,70,1.1227683471248207e-08
0.1u,0.1u,0.350u,0.1u,TT,0,1.5692540796851426e-08
0.1u,0.1u,0.350u,0.1u,FF,0,2.4051989234624026e-08
0.1u,0.1u,0.350u,0.1u,TT,27,2.8154710610501068e-08
0.1u,0.1u,0.350u,0.1u,TT,70,2.5312188818935573e-08
0.1u,0.1u,0.350u,0.1u,FF,27,2.6981077474614484e-08
0.1u,0.1u,0.350u,0.1u,FF,70,1.0202591431541794e-08
0.1u,0.1u,0.225u,0.1u,TT,0,1.9736726279722025e-08
0.1u,0.1u,0.225u,0.1u,FF,0,3.162090405706249e-08
0.1u,0.1u,0.225u,0.1u,TT,27,1.6307345221509756e-08
0.1u,0.1u,0.225u,0.1u,TT,70,1.818226265225216e-08
0.1u,0.1u,0.225u,0.1u,FF,27,2.3241169887386918e-10
0.1u,0.1u,0.225u,0.1u,FF,70,1.926014513200793e-08
0.1u,0.1u,0.400u,0.1u,TT,0,1.6522343190572322e-08
0.1u,0.1u,0.400u,0.1u,FF,0,2.0667749274494562e-08
0.1u,0.1u,0.400u,0.1u,TT,27,2.7919010604256824e-08
0.1u,0.1u,0.400u,0.1u,TT,70,2.4100241118583552e-08
0.1u,0.1u,0.400u,0.1u,FF,27,4.322678347254376e-08
0.1u,0.1u,0.400u,0.1u,FF,70,1.0763408767521378e-08
0.1u,0.1u,0.475u,0.1u,TT,0,1.3479243416780362e-08
0.1u,0.1u,0.475u,0.1u,FF,0,1.8337673758017183e-08
0.1u,0.1u,0.475u,0.1u,TT,27,2.3894412086014304e-08
0.1u,0.1u,0.475u,0.1u,TT,70,1.952381784708417e-08
0.1u,0.1u,0.475u,0.1u,FF,27,4.730938006970483e-10
