N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,TT,27,2.3823797583324324e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.893233437235764e-08
0.1u,0.1u,0.1u,0.1u,FF,27,2.6310612449476613e-08
0.1u,0.1u,0.1u,0.1u,TT,0,1.5411236559106693e-08
0.1u,0.1u,0.1u,0.1u,FF,0,2.1087098606290693e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.9740262164033844e-08
0.1u,0.1u,0.1u,0.1u,TT,27,4.349182614346422e-09
0.1u,0.1u,0.2u,0.1u,TT,70,7.427000797624341e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.6901841690360003e-08
0.1u,0.1u,0.2u,0.1u,TT,0,2.396045902303928e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8559522961010503e-08
0.1u,0.1u,0.2u,0.1u,FF,70,3.415228279543271e-08
0.1u,0.1u,0.2u,0.1u,TT,27,1.8559387095084943e-08
0.1u,0.1u,0.3u,0.1u,TT,70,9.39960351659144e-09
0.1u,0.1u,0.3u,0.1u,FF,27,2.8432081095875367e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.3758978683414522e-08
0.1u,0.1u,0.3u,0.1u,FF,0,1.5627185094020827e-08
0.1u,0.1u,0.3u,0.1u,FF,70,3.9615004848475883e-08
0.1u,0.1u,0.3u,0.1u,TT,27,2.3823797583324324e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.893233437235764e-08
0.1u,0.1u,0.1u,0.1u,FF,27,2.6310612449476613e-08
0.1u,0.1u,0.1u,0.1u,TT,0,1.5411236559106693e-08
0.1u,0.1u,0.1u,0.1u,FF,0,2.1087098606290693e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.9740262164033844e-08
0.1u,0.1u,0.1u,0.1u,TT,27,4.349182614346422e-09
0.1u,0.1u,0.2u,0.1u,TT,70,7.427000797624341e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.6901841690360003e-08
0.1u,0.1u,0.2u,0.1u,TT,0,2.396045902303928e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8559522961010503e-08
0.1u,0.1u,0.2u,0.1u,FF,70,3.415228279543271e-08
0.1u,0.1u,0.2u,0.1u,TT,27,1.8559387095084943e-08
0.1u,0.1u,0.3u,0.1u,TT,70,9.39960351659144e-09
0.1u,0.1u,0.3u,0.1u,FF,27,2.8432081095875367e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.3758978683414522e-08
0.1u,0.1u,0.3u,0.1u,FF,0,1.5627185094020827e-08
0.1u,0.1u,0.3u,0.1u,FF,70,3.9615004848475883e-08
0.1u,0.1u,0.3u,0.1u,TT,27,2.3823797583324324e-08
0.1u,0.1u,0.1u,0.1u,TT,70,1.893233437235764e-08
0.1u,0.1u,0.1u,0.1u,FF,27,2.6310612449476613e-08
0.1u,0.1u,0.1u,0.1u,TT,0,1.5411236559106693e-08
0.1u,0.1u,0.1u,0.1u,FF,0,2.1087098606290693e-08
0.1u,0.1u,0.1u,0.1u,FF,70,2.9740262164033844e-08
0.1u,0.1u,0.1u,0.1u,TT,27,4.349182614346422e-09
0.1u,0.1u,0.2u,0.1u,TT,70,7.427000797624341e-09
0.1u,0.1u,0.2u,0.1u,FF,27,2.6901841690360003e-08
0.1u,0.1u,0.2u,0.1u,TT,0,2.396045902303928e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8559522961010503e-08
0.1u,0.1u,0.2u,0.1u,FF,70,3.415228279543271e-08
0.1u,0.1u,0.2u,0.1u,TT,27,1.8559387095084943e-08
0.1u,0.1u,0.3u,0.1u,TT,70,9.39960351659144e-09
0.1u,0.1u,0.3u,0.1u,FF,27,2.8432081095875367e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.3758978683414522e-08
0.1u,0.1u,0.3u,0.1u,FF,0,1.5627185094020827e-08
0.1u,0.1u,0.3u,0.1u,FF,70,3.9615004848475883e-08
0.1u,0.1u,0.3u,0.1u,TT,27,2.3823797583324324e-08
