N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,FF,0,1.0256741375974446e-08
0.1u,0.1u,0.175u,0.1u,FF,70,3.4987842312956523e-08
0.1u,0.1u,0.175u,0.1u,TT,0,9.044924411369042e-09
0.1u,0.1u,0.175u,0.1u,FF,27,1.8393506046668617e-08
0.1u,0.1u,0.175u,0.1u,TT,70,2.3217799197637214e-08
0.1u,0.1u,0.175u,0.1u,TT,27,1.3518018408352056e-08
0.1u,0.1u,0.550u,0.1u,FF,0,1.9039874511826964e-08
0.1u,0.1u,0.550u,0.1u,FF,70,4.0941792271487424e-08
0.1u,0.1u,0.550u,0.1u,TT,0,9.06143553870955e-09
0.1u,0.1u,0.550u,0.1u,FF,27,2.568385289697457e-08
0.1u,0.1u,0.550u,0.1u,TT,70,2.2999014259612608e-08
0.1u,0.1u,0.550u,0.1u,TT,27,1.2670218012623481e-08
0.1u,0.1u,0.275u,0.1u,FF,0,8.47614987717818e-09
0.1u,0.1u,0.275u,0.1u,FF,70,3.219383412859242e-08
0.1u,0.1u,0.275u,0.1u,TT,0,4.712762065217551e-09
0.1u,0.1u,0.275u,0.1u,FF,27,1.5611927886959027e-08
0.1u,0.1u,0.275u,0.1u,TT,70,2.136632930597735e-08
0.1u,0.1u,0.275u,0.1u,TT,27,1.0236024301210256e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.3663849970979332e-08
0.1u,0.1u,0.100u,0.1u,FF,70,3.557480215644984e-08
0.1u,0.1u,0.100u,0.1u,TT,0,7.166039648716726e-09
0.1u,0.1u,0.100u,0.1u,FF,27,2.056039583066336e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.1190863956740973e-08
0.1u,0.1u,0.100u,0.1u,TT,27,1.1381538226171726e-08
0.1u,0.1u,0.3u,0.1u,FF,0,9.579384790796338e-09
0.1u,0.1u,0.3u,0.1u,FF,70,3.2313620882449696e-08
0.1u,0.1u,0.3u,0.1u,TT,0,4.025454278149491e-09
0.1u,0.1u,0.3u,0.1u,FF,27,1.6360977792740828e-08
0.1u,0.1u,0.3u,0.1u,TT,70,2.069920406677755e-08
0.1u,0.1u,0.3u,0.1u,TT,27,9.433868158385564e-09
0.1u,0.1u,0.500u,0.1u,FF,0,1.8791833032679947e-08
0.1u,0.1u,0.500u,0.1u,FF,70,3.981009682811692e-08
0.1u,0.1u,0.500u,0.1u,TT,0,7.0781715721953245e-09
0.1u,0.1u,0.500u,0.1u,FF,27,2.5042361244254298e-08
0.1u,0.1u,0.500u,0.1u,TT,70,2.1745353288826132e-08
0.1u,0.1u,0.500u,0.1u,TT,27,1.1018853740558062e-08
