N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.175u,0.1u,FF,70,1.9032039131059053e-08
0.1u,0.1u,0.175u,0.1u,FF,27,8.451129494773405e-09
0.1u,0.1u,0.175u,0.1u,TT,27,4.932249168968718e-09
0.1u,0.1u,0.175u,0.1u,TT,0,6.454675420626634e-09
0.1u,0.1u,0.175u,0.1u,TT,70,1.0955829110652062e-08
0.1u,0.1u,0.175u,0.1u,FF,0,2.229435067940008e-08
0.1u,0.1u,0.550u,0.1u,FF,70,3.7276922993266375e-08
0.1u,0.1u,0.550u,0.1u,FF,27,2.071200695223493e-08
0.1u,0.1u,0.550u,0.1u,TT,27,1.6971045505804353e-08
0.1u,0.1u,0.550u,0.1u,TT,0,1.320502964473007e-08
0.1u,0.1u,0.550u,0.1u,TT,70,2.3271690488022058e-08
0.1u,0.1u,0.550u,0.1u,FF,0,1.2526780347818164e-08
0.1u,0.1u,0.275u,0.1u,FF,70,4.7837937101608846e-08
0.1u,0.1u,0.275u,0.1u,FF,27,3.565900261334379e-08
0.1u,0.1u,0.275u,0.1u,TT,27,1.80027051987429e-08
0.1u,0.1u,0.275u,0.1u,TT,0,1.9695006615370115e-08
0.1u,0.1u,0.275u,0.1u,TT,70,2.1717576566327013e-08
0.1u,0.1u,0.275u,0.1u,FF,0,2.6592385307058494e-08
0.1u,0.1u,0.100u,0.1u,FF,70,1.9393037060297852e-08
0.1u,0.1u,0.100u,0.1u,FF,27,1.863872879792373e-08
0.1u,0.1u,0.100u,0.1u,TT,27,2.6659088101931084e-08
0.1u,0.1u,0.100u,0.1u,TT,0,2.5682278230454776e-08
0.1u,0.1u,0.100u,0.1u,TT,70,2.9984097530627085e-08
0.1u,0.1u,0.100u,0.1u,FF,0,1.758120169156334e-09
0.1u,0.1u,0.3u,0.1u,FF,70,4.6590984224917177e-08
0.1u,0.1u,0.3u,0.1u,FF,27,3.235015481915011e-08
0.1u,0.1u,0.3u,0.1u,TT,27,1.863354382912245e-08
0.1u,0.1u,0.3u,0.1u,TT,0,1.998548301803175e-08
0.1u,0.1u,0.3u,0.1u,TT,70,2.329519053035912e-08
0.1u,0.1u,0.3u,0.1u,FF,0,2.237443460625756e-08
0.1u,0.1u,0.500u,0.1u,FF,70,3.808474414983557e-08
0.1u,0.1u,0.500u,0.1u,FF,27,2.1053728378596864e-08
0.1u,0.1u,0.500u,0.1u,TT,27,1.762946545992607e-08
0.1u,0.1u,0.500u,0.1u,TT,0,1.4516284304937168e-08
0.1u,0.1u,0.500u,0.1u,TT,70,2.7889211029734986e-08
0.1u,0.1u,0.500u,0.1u,FF,0,1.1913158612491461e-08
0.1u,0.1u,0.125u,0.1u,FF,70,3.173444637105676e-08
0.1u,0.1u,0.125u,0.1u,FF,27,4.924343511299437e-09
0.1u,0.1u,0.125u,0.1u,TT,27,2.6570028264316133e-08
0.1u,0.1u,0.125u,0.1u,TT,0,1.9740222928908923e-08
0.1u,0.1u,0.125u,0.1u,TT,70,3.257342927113644e-08
0.1u,0.1u,0.125u,0.1u,FF,0,1.3353436295836764e-08
0.1u,0.1u,0.450u,0.1u,FF,70,3.932239978007524e-08
0.1u,0.1u,0.450u,0.1u,FF,27,2.21848518608902e-08
0.1u,0.1u,0.450u,0.1u,TT,27,1.825345397978705e-08
0.1u,0.1u,0.450u,0.1u,TT,0,1.6138024749501474e-08
0.1u,0.1u,0.450u,0.1u,TT,70,2.7528681159398173e-08
0.1u,0.1u,0.450u,0.1u,FF,0,1.1890215079584645e-08
0.1u,0.1u,0.250u,0.1u,FF,70,4.862114240164673e-08
0.1u,0.1u,0.250u,0.1u,FF,27,4.045019575020741e-09
0.1u,0.1u,0.250u,0.1u,TT,27,1.6019914399302954e-08
0.1u,0.1u,0.250u,0.1u,TT,0,1.847661627070586e-08
0.1u,0.1u,0.250u,0.1u,TT,70,1.955362242470881e-08
0.1u,0.1u,0.250u,0.1u,FF,0,3.11349786538526e-08
0.1u,0.1u,0.300u,0.1u,FF,70,4.6590984224917177e-08
0.1u,0.1u,0.300u,0.1u,FF,27,3.235015481915011e-08
0.1u,0.1u,0.300u,0.1u,TT,27,1.863354382912245e-08
0.1u,0.1u,0.300u,0.1u,TT,0,1.998548301803175e-08
0.1u,0.1u,0.300u,0.1u,TT,70,2.329519053035912e-08
0.1u,0.1u,0.300u,0.1u,FF,0,2.237443460625756e-08
0.1u,0.1u,0.200u,0.1u,FF,70,1.6027608736819072e-08
0.1u,0.1u,0.200u,0.1u,FF,27,8.456696554257164e-09
0.1u,0.1u,0.200u,0.1u,TT,27,9.436729727243973e-09
0.1u,0.1u,0.200u,0.1u,TT,0,1.1766398075026753e-08
0.1u,0.1u,0.200u,0.1u,TT,70,1.4041034006246386e-08
0.1u,0.1u,0.200u,0.1u,FF,0,1.9583445014004783e-08
0.1u,0.1u,0.425u,0.1u,FF,70,4.0235703081566293e-08
0.1u,0.1u,0.425u,0.1u,FF,27,2.3320667835613e-08
0.1u,0.1u,0.425u,0.1u,TT,27,1.8711690988890948e-08
0.1u,0.1u,0.425u,0.1u,TT,0,1.682513806160597e-08
0.1u,0.1u,0.425u,0.1u,TT,70,2.71507205546398e-08
0.1u,0.1u,0.425u,0.1u,FF,0,1.2325431451000826e-08
0.1u,0.1u,0.350u,0.1u,FF,70,4.36801407295978e-08
0.1u,0.1u,0.350u,0.1u,FF,27,2.7285930980098304e-08
0.1u,0.1u,0.350u,0.1u,TT,27,1.9300355432434263e-08
0.1u,0.1u,0.350u,0.1u,TT,0,1.9380869207925768e-08
0.1u,0.1u,0.350u,0.1u,TT,70,2.529911375785073e-08
0.1u,0.1u,0.350u,0.1u,FF,0,1.6769996933224455e-08
0.1u,0.1u,0.225u,0.1u,FF,70,1.6607070408895514e-08
0.1u,0.1u,0.225u,0.1u,FF,27,6.843249333176326e-09
0.1u,0.1u,0.225u,0.1u,TT,27,1.3144330946009843e-08
0.1u,0.1u,0.225u,0.1u,TT,0,1.599551685363958e-08
0.1u,0.1u,0.225u,0.1u,TT,70,1.6950938006230418e-08
0.1u,0.1u,0.225u,0.1u,FF,0,1.4703112512128788e-08
0.1u,0.1u,0.400u,0.1u,FF,70,4.1179205716667294e-08
0.1u,0.1u,0.400u,0.1u,FF,27,2.44571574231393e-08
0.1u,0.1u,0.400u,0.1u,TT,27,1.9131073442073216e-08
