N_W,N_L,P_W,P_L,Corner,Temperature,Power
0.1u,0.1u,0.3u,0.1u,FF,27,4.486843201962632e-09
0.1u,0.1u,0.1u,0.1u,FF,70,1.5634295168660024e-08
0.1u,0.1u,0.1u,0.1u,FF,0,5.565142193294236e-09
0.1u,0.1u,0.1u,0.1u,TT,27,4.436107972235689e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.3426978963049763e-09
0.1u,0.1u,0.1u,0.1u,TT,70,9.523208839877321e-09
0.1u,0.1u,0.1u,0.1u,FF,27,8.3622437513544e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.5930863193979414e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8915167765489517e-09
0.1u,0.1u,0.2u,0.1u,TT,27,6.273735459991119e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.169891047945648e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.0802339986025398e-08
0.1u,0.1u,0.2u,0.1u,FF,27,7.146053081276496e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.3816706400512673e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.87966412197061e-10
0.1u,0.1u,0.3u,0.1u,TT,27,3.860835816389574e-09
0.1u,0.1u,0.3u,0.1u,TT,0,5.434683502849029e-10
0.1u,0.1u,0.3u,0.1u,TT,70,1.0208373487769108e-08
0.1u,0.1u,0.3u,0.1u,FF,27,4.486843201962632e-09
0.1u,0.1u,0.1u,0.1u,FF,70,1.5634295168660024e-08
0.1u,0.1u,0.1u,0.1u,FF,0,5.565142193294236e-09
0.1u,0.1u,0.1u,0.1u,TT,27,4.436107972235689e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.3426978963049763e-09
0.1u,0.1u,0.1u,0.1u,TT,70,9.523208839877321e-09
0.1u,0.1u,0.1u,0.1u,FF,27,8.3622437513544e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.5930863193979414e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8915167765489517e-09
0.1u,0.1u,0.2u,0.1u,TT,27,6.273735459991119e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.169891047945648e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.0802339986025398e-08
0.1u,0.1u,0.2u,0.1u,FF,27,7.146053081276496e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.3816706400512673e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.87966412197061e-10
0.1u,0.1u,0.3u,0.1u,TT,27,3.860835816389574e-09
0.1u,0.1u,0.3u,0.1u,TT,0,5.434683502849029e-10
0.1u,0.1u,0.3u,0.1u,TT,70,1.0208373487769108e-08
0.1u,0.1u,0.3u,0.1u,FF,27,4.486843201962632e-09
0.1u,0.1u,0.1u,0.1u,FF,70,1.5634295168660024e-08
0.1u,0.1u,0.1u,0.1u,FF,0,5.565142193294236e-09
0.1u,0.1u,0.1u,0.1u,TT,27,4.436107972235689e-09
0.1u,0.1u,0.1u,0.1u,TT,0,2.3426978963049763e-09
0.1u,0.1u,0.1u,0.1u,TT,70,9.523208839877321e-09
0.1u,0.1u,0.1u,0.1u,FF,27,8.3622437513544e-09
0.1u,0.1u,0.2u,0.1u,FF,70,1.5930863193979414e-08
0.1u,0.1u,0.2u,0.1u,FF,0,2.8915167765489517e-09
0.1u,0.1u,0.2u,0.1u,TT,27,6.273735459991119e-09
0.1u,0.1u,0.2u,0.1u,TT,0,4.169891047945648e-09
0.1u,0.1u,0.2u,0.1u,TT,70,1.0802339986025398e-08
0.1u,0.1u,0.2u,0.1u,FF,27,7.146053081276496e-09
0.1u,0.1u,0.3u,0.1u,FF,70,1.3816706400512673e-08
0.1u,0.1u,0.3u,0.1u,FF,0,7.87966412197061e-10
0.1u,0.1u,0.3u,0.1u,TT,27,3.860835816389574e-09
0.1u,0.1u,0.3u,0.1u,TT,0,5.434683502849029e-10
0.1u,0.1u,0.3u,0.1u,TT,70,1.0208373487769108e-08
0.1u,0.1u,0.3u,0.1u,FF,27,4.486843201962632e-09
