AIM-Spice kernel Version 2022.100  (Built on Aug 12 2022)
Circuit: * Library and model files
Analysis: Transient Analysis
Started on: tir. okt. 24 18:40:00 2023
Time i(vdd)
1.67772160000000e-09,-7.69348896904116e-06
3.35544320000000e-09,7.66450095318871e-06
6.71088640000000e-09,-7.69347941569993e-06
1.06908864000000e-08,7.66446082086987e-06
1.46708864000000e-08,-7.69349177464080e-06
1.86508864000000e-08,7.66447208551326e-06
2.26308864000000e-08,-7.69346079151387e-06
2.66108864000000e-08,7.66448968079487e-06
3.05908864000000e-08,-7.69349916440199e-06
3.45708864000000e-08,7.66444162887505e-06
3.85508864000000e-08,-7.69345327181225e-06
4.25308864000000e-08,7.66447871680557e-06
4.65108864000000e-08,-7.69348195798246e-06
5.04908864000000e-08,7.66443907521474e-06
5.44708864000000e-08,-7.69344125406449e-06
5.84508864000000e-08,7.66447078260641e-06
6.24308864000000e-08,-7.69348658559066e-06
6.64108864000000e-08,7.66442736953765e-06
7.03908864000000e-08,-7.69343171701737e-06
7.43708864000000e-08,7.66446938906579e-06
7.83508864000000e-08,-7.69345501344661e-06
8.23308864000000e-08,7.66440814139978e-06
8.63108864000000e-08,-7.69344030545392e-06
9.02908864000000e-08,7.66442375586203e-06
9.42708864000000e-08,-7.69343826991600e-06
9.82508864000000e-08,7.66441956202064e-06
1.02230886400000e-07,-7.69343114513249e-06
1.06210886400000e-07,7.66441671341607e-06
1.10190886400000e-07,-7.69343293111638e-06
1.14170886400000e-07,7.66441232370261e-06
1.18150886400000e-07,-7.69342969587485e-06
1.22130886400000e-07,7.66441933569033e-06
1.26110886400000e-07,-7.69342331516571e-06
1.30090886400000e-07,7.66442905085486e-06
1.34070886400000e-07,-7.69340908703407e-06
1.38050886400000e-07,7.66440682281196e-06
1.42030886400000e-07,-7.69344495012226e-06
1.46010886400000e-07,7.66442556356061e-06
1.49990886400000e-07,-7.69341962283891e-06
1.53970886400000e-07,7.66444832052884e-06
1.57950886400000e-07,-7.69344769008494e-06
1.61930886400000e-07,7.66439333434275e-06
1.65910886400000e-07,-7.69341028567314e-06
1.69890886400000e-07,7.66443571351908e-06
1.73870886400000e-07,-7.69344479833896e-06
1.77850886400000e-07,7.66439252364764e-06
1.81830886400000e-07,-7.69340398465386e-06
1.85810886400000e-07,7.66442731867420e-06
1.89790886400000e-07,-7.69343706934589e-06
1.93770886400000e-07,7.66438832305711e-06
1.97750886400000e-07,-7.69340586557114e-06
2.00000000000000e-07,7.66443048817169e-06
