parameters,FS,SS,TT,SF,FF
0.6V_0.1x0.1_0.4x0.2,3.996156799852592e-10,3.8858098128966716e-10,9.089729120339767e-10,1.269752827834293e-09,1.8513791130045423e-09
0.45V_0.1x0.1_0.2x0.1,1.0154717939209887e-10,1.0694918197440676e-10,1.990926933722894e-10,2.9472837893669447e-10,3.0661534654454883e-10
0.5V_0.1x0.1_0.2x0.1,1.4299846549740817e-10,1.3755995800570088e-10,2.566837170061442e-10,3.814486362084051e-10,3.9977318666003985e-10
0.55V_0.1x0.1_0.2x0.1,1.8732929309185263e-10,1.7718778926568407e-10,3.40600471347697e-10,4.939896753324939e-10,5.266824980595304e-10
0.6V_0.1x0.1_0.2x0.1,2.365874833063785e-10,2.3178020816017163e-10,4.3461815359142717e-10,6.28280071806573e-10,6.792511539257059e-10
0.65V_0.1x0.1_0.2x0.1,3.0528264951779994e-10,3.0230974357637405e-10,5.594789335803621e-10,7.821724161780743e-10,8.578244193391801e-10
0.7V_0.1x0.1_0.2x0.1,3.9659486816039856e-10,3.830829455688083e-10,6.99236200792281e-10,9.498207153058359e-10,1.1023939823726935e-09
0.75V_0.1x0.1_0.2x0.1,4.69054980943087e-10,4.783244338634326e-10,8.91789496292832e-10,1.118314769590011e-09,1.384416203779507e-09
0.80V_0.1x0.1_0.2x0.1,6.020366824415293e-10,6.05175482947094e-10,1.1056183349465063e-09,1.3001321281474235e-09,1.723170616211669e-09
0.85V_0.1x0.1_0.2x0.1,7.902782342955179e-10,7.48718329358688e-10,1.3674184702706955e-09,1.4894164346716775e-09,2.13712641127925e-09
0.90V_0.1x0.1_0.2x0.1,9.79995937504757e-10,9.175842407250775e-10,1.677906541277555e-09,1.689725329539333e-09,2.5955861185475807e-09
0.6V_0.1x0.1_0.1x0.1,1.5472976002028615e-10,1.5189078538482018e-10,2.7471497181063285e-10,3.969071715754256e-10,4.0201916644805657e-10
0.6V_0.2x0.2_0.2x0.2,2.1851766028781088e-10,1.8644272738955343e-10,4.0516467624766647e-10,2.9397461691967207e-10,7.94376606573261e-10
0.6V_0.1x0.1_0.3x0.1,3.3175370366785016e-10,3.2196102640349276e-10,5.932789595302283e-10,8.125134622773601e-10,9.411328516165584e-10
0.6V_0.1x0.1_0.3x0.2,3.1195839664696976e-10,3.0647990848917955e-10,7.08465001668171e-10,1.1261869033985986e-09,1.470166760891442e-09
0.50V_0.1x0.1_0.2x0.1,1.4299846549740817e-10,1.3755995800570088e-10,2.566837170061442e-10,3.814486362084051e-10,3.997731866600399e-10
0.60V_0.1x0.1_0.2x0.1,2.3658751993700676e-10,2.3178021591601552e-10,4.3461815716525015e-10,6.283752245924438e-10,6.792511402450458e-10
0.70V_0.1x0.1_0.2x0.1,3.9659486816039856e-10,3.830829455688083e-10,6.99236200792281e-10,9.498207153058359e-10,1.1023939823726935e-09
0.60V_0.1x0.1_0.1x0.1,1.5472978684579774e-10,1.5189077312687462e-10,2.7471495454895565e-10,3.969069379079998e-10,4.0201920358695507e-10
0.60V_0.2x0.2_0.2x0.2,2.1851764263224336e-10,1.8644278718237564e-10,4.051646791778257e-10,2.93974618861585e-10,7.943766043519494e-10
0.60V_0.1x0.1_0.3x0.1,3.317537012154388e-10,3.2196102880714133e-10,5.932788659150162e-10,8.11304631330585e-10,9.411328501768687e-10
0.60V_0.1x0.1_0.4x0.2,3.9961570515589517e-10,3.8858096619093936e-10,9.089729246660904e-10,1.269752824189706e-09,1.8513791033084222e-09
0.60V_0.1x0.1_0.3x0.2,3.1195835326958685e-10,3.0647989398977456e-10,7.084650627180603e-10,1.126186904444463e-09,1.4701667268145362e-09
