N_W,N_L,P_W,P_L,Corner,Temperature,Power,VDD
,,,,FF,27,6.544591969013567e-09,0.5
,,,,FF,70,2.8581265021359125e-08,0.8
,,,,FF,0,8.958689554770035e-09,0.8
,,,,TT,27,7.817029079763199e-09,0.8
,,,,TT,0,2.6339607705067343e-09,0.8
,,,,TT,70,1.88429293046171e-08,0.8
,,,,FF,27,1.4290650845864166e-08,0.8
,,,,FF,70,2.4096547667845293e-08,0.75
,,,,FF,70,2.8581265021359125e-08,0.8
,,,,FF,0,8.958689554770035e-09,0.8
,,,,TT,27,7.817029079763199e-09,0.8
,,,,TT,0,2.6339607705067343e-09,0.8
,,,,TT,70,1.88429293046171e-08,0.8
,,,,FF,27,1.4290650845864166e-08,0.8
,,,,FF,70,2.4096547667845293e-08,0.75
,,,,FF,0,5.71347309392285e-09,0.75
,,,,TT,27,7.324886723526472e-09,0.75
,,,,TT,0,2.5691743635777023e-09,0.75
,,,,TT,70,1.6812719005780093e-08,0.75
,,,,FF,27,1.1035171131623442e-08,0.75
,,,,FF,70,1.4170027607538381e-08,0.55
,,,,FF,0,4.4714329926003035e-09,0.55
,,,,TT,27,4.951219478987113e-09,0.55
,,,,TT,0,3.681381871519514e-09,0.55
,,,,TT,70,8.74880887208298e-09,0.55
,,,,FF,27,7.40844951716691e-09,0.55
,,,,FF,70,1.5930863193979414e-08,0.6
,,,,FF,0,2.8915167765489517e-09,0.6
,,,,TT,27,6.273735459991119e-09,0.6
,,,,TT,0,4.169891047945648e-09,0.6
,,,,TT,70,1.0802339986025398e-08,0.6
,,,,FF,27,7.146053081276496e-09,0.6
,,,,FF,70,2.0589207755865368e-08,0.7
,,,,FF,0,3.2748753127941547e-09,0.7
,,,,TT,27,6.790774416094737e-09,0.7
,,,,TT,0,2.938867528308351e-09,0.7
,,,,TT,70,1.4860127262790577e-08,0.7
,,,,FF,27,8.410120405272857e-09,0.7
,,,,FF,70,1.7865540845720107e-08,0.65
,,,,FF,0,2.342440410962169e-09,0.65
,,,,TT,27,6.637233743788638e-09,0.65
,,,,TT,0,3.5078916419502047e-09,0.65
,,,,TT,70,1.304767780063654e-08,0.65
,,,,FF,27,7.271226630497556e-09,0.65
,,,,FF,70,1.16043411942151e-08,0.5
,,,,FF,0,4.528292389005951e-09,0.5
,,,,TT,27,3.353974730310005e-09,0.5
,,,,TT,0,1.840768547246485e-09,0.5
,,,,TT,70,6.935839683550006e-09,0.5
,,,,FF,27,6.544591969013567e-09,0.5
,,,,FF,70,2.8581265021359125e-08,0.8
,,,,FF,0,8.958689554770035e-09,0.8
,,,,TT,27,7.817029079763199e-09,0.8
,,,,TT,0,2.6339607705067343e-09,0.8
,,,,TT,70,1.88429293046171e-08,0.8
,,,,FF,27,1.4290650845864166e-08,0.8
,,,,FF,70,2.4096547667845293e-08,0.75
,,,,FF,0,5.71347309392285e-09,0.75
,,,,TT,27,7.324886723526472e-09,0.75
,,,,TT,0,2.5691743635777023e-09,0.75
,,,,TT,70,1.6812719005780093e-08,0.75
,,,,FF,27,1.1035171131623442e-08,0.75
,,,,FF,70,1.4170027607538381e-08,0.55
,,,,FF,0,4.4714329926003035e-09,0.55
,,,,TT,27,4.951219478987113e-09,0.55
,,,,TT,0,3.681381871519514e-09,0.55
,,,,TT,70,8.74880887208298e-09,0.55
,,,,FF,27,7.40844951716691e-09,0.55
,,,,FF,70,1.5930863193979414e-08,0.6
,,,,FF,0,2.8915167765489517e-09,0.6
,,,,TT,27,6.273735459991119e-09,0.6
,,,,TT,0,4.169891047945648e-09,0.6
,,,,TT,70,1.0802339986025398e-08,0.6
,,,,FF,27,7.146053081276496e-09,0.6
,,,,FF,70,2.0589207755865368e-08,0.7
,,,,FF,0,3.2748753127941547e-09,0.7
,,,,TT,27,6.790774416094737e-09,0.7
,,,,TT,0,2.938867528308351e-09,0.7
,,,,TT,70,1.4860127262790577e-08,0.7
,,,,FF,27,8.410120405272857e-09,0.7
,,,,FF,70,1.7865540845720107e-08,0.65
,,,,FF,0,2.342440410962169e-09,0.65
,,,,TT,27,6.637233743788638e-09,0.65
,,,,TT,0,3.5078916419502047e-09,0.65
,,,,TT,70,1.304767780063654e-08,0.65
,,,,FF,27,7.271226630497556e-09,0.65
,,,,FF,70,1.16043411942151e-08,0.5
,,,,FF,0,4.528292389005951e-09,0.5
,,,,TT,27,3.353974730310005e-09,0.5
,,,,TT,0,1.840768547246485e-09,0.5
,,,,TT,70,6.935839683550006e-09,0.5
,,,,FF,27,6.544591969013567e-09,0.5
,,,,FF,70,2.8581265021359125e-08,0.8
,,,,FF,0,8.958689554770035e-09,0.8
,,,,TT,27,7.817029079763199e-09,0.8
,,,,TT,0,2.6339607705067343e-09,0.8
,,,,TT,70,1.88429293046171e-08,0.8
,,,,FF,27,1.4290650845864166e-08,0.8
,,,,FF,70,2.4096547667845293e-08,0.75
,,,,FF,0,5.71347309392285e-09,0.75
,,,,TT,27,7.324886723526472e-09,0.75
,,,,TT,0,2.5691743635777023e-09,0.75
,,,,TT,70,1.6812719005780093e-08,0.75
,,,,FF,27,1.1035171131623442e-08,0.75
,,,,FF,70,1.4170027607538381e-08,0.55
,,,,FF,0,4.4714329926003035e-09,0.55
,,,,TT,27,4.951219478987113e-09,0.55
,,,,TT,0,3.681381871519514e-09,0.55
,,,,TT,70,8.74880887208298e-09,0.55
,,,,FF,27,7.40844951716691e-09,0.55
,,,,FF,70,1.5930863193979414e-08,0.6
,,,,FF,0,2.8915167765489517e-09,0.6
,,,,TT,27,6.273735459991119e-09,0.6
,,,,TT,0,4.169891047945648e-09,0.6
,,,,TT,70,1.0802339986025398e-08,0.6
,,,,FF,27,7.146053081276496e-09,0.6
,,,,FF,70,2.0589207755865368e-08,0.7
,,,,FF,0,3.2748753127941547e-09,0.7
,,,,TT,27,6.790774416094737e-09,0.7
,,,,TT,0,2.938867528308351e-09,0.7
,,,,TT,70,1.4860127262790577e-08,0.7
,,,,FF,27,8.410120405272857e-09,0.7
,,,,FF,70,1.7865540845720107e-08,0.65
,,,,FF,0,2.342440410962169e-09,0.65
,,,,TT,27,6.637233743788638e-09,0.65
,,,,TT,0,3.5078916419502047e-09,0.65
,,,,TT,70,1.304767780063654e-08,0.65
,,,,FF,27,7.271226630497556e-09,0.65
,,,,FF,70,1.16043411942151e-08,0.5
,,,,FF,0,4.528292389005951e-09,0.5
,,,,TT,27,3.353974730310005e-09,0.5
,,,,TT,0,1.840768547246485e-09,0.5
,,,,TT,70,6.935839683550006e-09,0.5
,,,,FF,27,6.544591969013567e-09,0.50
