Time,i(vdd)
6.03112800000013e-06,-2.58706602747059e-08
6.07112800000013e-06,-2.73413491811397e-08
6.11112800000013e-06,-2.58452840470665e-08
6.15112800000013e-06,-2.73646837054667e-08
6.19112800000013e-06,-2.58077365357969e-08
6.23112800000013e-06,-2.74126874481227e-08
6.27112800000013e-06,-2.57682853384695e-08
6.31112800000013e-06,-2.74370496587510e-08
6.35112800000013e-06,-2.57225507933735e-08
6.39112800000013e-06,-2.74760106202587e-08
6.43112800000013e-06,-2.56980403117909e-08
6.47112800000013e-06,-2.75047110002963e-08
6.51112800000013e-06,-2.56607430671076e-08
6.55112800000013e-06,-2.75389518350811e-08
6.59112800000013e-06,-2.56326415518593e-08
6.63112800000013e-06,-2.75685450289714e-08
6.67112800000013e-06,-2.55997090135351e-08
6.71112800000013e-06,-2.76000099653339e-08
6.75112800000013e-06,-2.55709636148548e-08
6.79112800000013e-06,-2.76291689994649e-08
6.83112800000013e-06,-2.55406218978934e-08
6.87112800000013e-06,-2.76587153702232e-08
6.91112800000013e-06,-2.55123811324021e-08
6.95112800000013e-06,-2.76869405211342e-08
6.99112800000013e-06,-2.54838522896908e-08
7.03112800000012e-06,-2.77149609510841e-08
7.07112800000012e-06,-2.54565482217123e-08
7.11112800000012e-06,-2.77420825712153e-08
7.15112800000012e-06,-2.54294770846953e-08
7.19112800000012e-06,-2.77687726885638e-08
7.23112800000012e-06,-2.54032535911448e-08
7.27112800000012e-06,-2.77947530183819e-08
7.31112800000012e-06,-2.53774615168717e-08
7.35112800000012e-06,-2.78202236919655e-08
7.39112800000012e-06,-2.53523467723948e-08
7.43112800000012e-06,-2.78450774713074e-08
7.47112800000012e-06,-2.53277311784214e-08
7.51112800000012e-06,-2.78694038181363e-08
7.55112800000012e-06,-2.53037079227377e-08
7.59112800000012e-06,-2.78931660049056e-08
7.63112800000012e-06,-2.52801974687888e-08
7.67112800000012e-06,-2.79164066992010e-08
7.71112800000012e-06,-2.52572312509531e-08
7.75112800000012e-06,-2.79391183867284e-08
7.79112800000012e-06,-2.52347697781087e-08
7.83112800000012e-06,-2.79613249672534e-08
7.87112800000012e-06,-2.52128194809537e-08
7.91112800000012e-06,-2.79830300870896e-08
7.95112800000012e-06,-2.51913649857103e-08
7.99112800000012e-06,-2.80042492742168e-08
8.00000000000000e-06,-2.51345552192800e-08
